municipality,requester_cnes,requester_name,executor_cnes,executor_name,grupo_saude_am_id,executor_address
ANORI,9752463,LABORATORIO MUNICIPAL AMILTON DO NASCIMENTO PEREIRA,950912,CENTRO DE SAUDE   DIVA RIBEIRO CARVALHO,fe510771-3b41-4d56-adfc-5b97e8c74408,"RUA RAIMUNDO PINTO  BRANDAO, SN - SANTO ANTONIO"
ANORI,9795553,SECRETARIA MUNICIPAL DE SAUDE,950912,CENTRO DE SAUDE   DIVA RIBEIRO CARVALHO,fe510771-3b41-4d56-adfc-5b97e8c74409,"RUA RAIMUNDO PINTO  BRANDAO, SN - SANTO ANTONIO"
APUI,2013282,HOSPITAL DORVALINO LAGASSE,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,2013290,POSTO DE SAUDE RURAL EDUARDO BIAZIN,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,2013304,POSTO DE SAUDE PADRE FALIERO BONCI,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,2013312,POSTO DE SAUDE ANIZIO FERREIRA DA SILVA,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,3320138,POSTO DE SAUDE IRMA ELIZABETE,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,3697983,CENTRO DE SAUDE CURUMIM,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,3903273,CENTRAL DE ABASTECIMENTO FARMACEUTICO DE APUI,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,4184688,UBS JK,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,4521722,FARMACIA FRAN FARMA,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,4526716,SAFIRA FARMA,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,4567331,TOP FARMA,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,4927249,CLINICA MEDICA ARANTES,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,4953401,LABORATORIO SAO MATEUS,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,6820662,SECRETARIA MUNICIPAL DE SAUDE DE APUI,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,6893260,VIGILANCIA SANITARIA COVISA,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,6893279,CAPS MARIA SALETE TASCA,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,7684029,LABORATORIO DE PROTESE DENTARIA DE APUI,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,9204636,LABORATORIO DE ANALISES CLINICAS DE APUI,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,9934448,POSTO DE SAUDE OSVALDO LEMES CABRAL,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
APUI,9942122,POSTO DE SAUDE CLAUDIA PEREIRA DOS SANTOS DAMACENA,2013312,UBS ANIZIO FERREIRA DA SILVA,e3578c99-75e8-41fc-b362-a19c63edea21,"DOM PEDRO I, SN -   SÃO SEBASTIAO"
